row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PB_neg_5.mzML Peak height,Cg2_neg_12.mzML Peak height,Cg1_neg_13.mzML Peak height,Ps2_neg_14.mzML Peak height,Cg3_neg_10.mzML Peak height,Asp3_neg_19.mzML Peak height,Ps1_neg_20.mzML Peak height,Asp2_neg_16.mzML Peak height,Asp1_neg_18.mzML Peak height,Ml1_neg_9.mzML Peak height,Ps3_neg_21.mzML Peak height,Ml3_neg_17.mzML Peak height,Ml2_neg_11.mzML Peak height,QC_neg_7.mzML Peak height,QC_neg_22.mzML Peak height,QC_neg_8.mzML Peak height,QC_neg_15.mzML Peak height,QC_neg_24.mzML Peak height,
3607,391.13602598593263,2.7528894,,,,,,,,,,,0,0,0,5585.2954,0,10989.192,5346.4653,12323.24,4813.0186,0,13580.722,1760.3677,1556.3403,0,0,2252.5457,2604.011,6907.4185,
3608,391.10426756889944,2.7366042,,,,,,,,,,,0,0,0,0,0,8829.508,0,8469.269,5871.191,0,0,0,0,0,0,5268.21,0,0,
3609,189.0766796375646,2.747031,,,,,,,,,,,0,7147.9136,0,7100.0674,9819.823,115454.12,6354.574,241917.47,59908.215,0,8402.92,0,0,49580.69,42631.625,42249.28,41763.586,44594.54,
3614,999.5157613133073,2.7445335,,,,,,,,,,,0,0,0,0,0,0,0,0,0,24245.043,0,15790.864,0,0,6793.925,0,0,5777.2803,
3615,335.10622400144854,2.7480292,,,,,,,,,,,0,0,0,0,0,11927.25,0,15718.778,18345.24,0,0,0,0,10829.399,11502.163,11351.759,10686.269,11758.298,
3616,429.1371138464283,2.740461,,,,,,,,,,,0,0,0,0,0,14141.024,0,19093.979,9981.327,1718.0562,0,0,1700.0522,1814.5618,2612.3489,3274.7896,2721.1143,0,
3617,1099.48104046791,2.7451446,,,,,,,,,,,0,0,0,0,0,10516.992,0,21258.508,13526.024,0,0,0,0,0,0,0,0,0,
3619,180.06664858478266,2.7459435,,,,,,,,,,,0,0,0,0,0,15317.2,0,19428.22,17256.45,0,0,0,0,11666.168,14308.509,11662.683,12837.285,11856.325,
3623,327.09847083316987,2.7461689,,,,,,,,,,,0,0,0,0,0,30978.797,0,32244.848,16383.069,0,0,0,0,9293.931,6862.7344,0,8199.778,8866.701,
3624,405.13956071482664,2.7469835,,,,,,,,,,,0,0,0,0,0,71547.59,0,117638.664,48450.203,0,0,0,0,26561.037,23348.008,23250.57,24259.383,11197.133,
3628,1124.129334537148,2.7477167,,,,,,,,,,,0,0,0,0,0,5738.876,0,8908.001,4259.1987,0,0,0,0,0,3047.5806,0,4067.733,3227.5564,
3633,705.2142958168644,2.754312,,,,,,,,,,,0,0,0,0,0,19699.023,0,19707.342,15180.503,0,0,0,0,7528.3574,8500.652,6714.0337,7869.829,0,
