"Filename",PS-PS_neg_53.mzML,CG-C13_neg_52.mzML,MI-B14_neg_49.mzML,CG-C22_neg_50.mzML,MI-B24_neg_47.mzML,QC_neg_45.mzML,MI-ML_neg_48.mzML,QC_neg_56.mzML,QC_neg_51.mzML,PB_neg_42.mzML,CG-CG_neg_55.mzML,ASP-ASP_neg_54.mzML,QC_neg_46.mzML
4929/362.9983mz/4.67min,13971.4462890625,14327.1611328125,14019.525390625,,14234.078125,13367.0595703125,14383.275390625,14013.248046875,14670.45703125,13292.060546875,13949.9443359375,14641.6953125,13968.7607421875
4933/403.0050mz/4.67min,11365.3134765625,12281.333984375,,13516.138671875,13056.080078125,12513.6337890625,11477.26171875,12087.916015625,11492.5625,11602.4228515625,12050.0556640625,12902.546875,11196.31640625
4935/298.9949mz/4.67min,13862.173828125,,12750.3837890625,12802.3076171875,13014.126953125,14228.9921875,13620.390625,12455.28515625,14275.78125,14246.26953125,11991.732421875,12191.162109375,12645.8017578125
4936/320.9989mz/4.67min,25857.59375,27823.771484375,25636.814453125,25552.60546875,26350.9765625,27056.595703125,24175.9453125,25610.40625,23901.392578125,25475.513671875,26763.27734375,26750.724609375,28150.845703125
4937/336.9939mz/4.67min,21959.3671875,21466.18359375,21084.015625,21072.857421875,20663.9921875,20697.216796875,21971.53515625,18800.595703125,20531.806640625,,21891.130859375,20345.875,21842.572265625
4940/339.0032mz/4.67min,20043.87109375,19229.55859375,18634.197265625,18436.9375,18048.47265625,19085.74609375,19638.087890625,17591.44921875,19905.51953125,18877.23046875,18915.1875,19022.87109375,18650.740234375
4941/387.2862mz/4.67min,25216.93359375,34609.23046875,46864.6484375,32617.87109375,28535.37890625,34739.11328125,27761.5390625,33489.76171875,32406.515625,26373.921875,22418.03515625,25905.740234375,31061.916015625
4947/285.2069mz/4.68min,17035.837890625,13604.0712890625,13021.771484375,13810.5,14836.8095703125,15500.8623046875,13457.4482421875,16379.24609375,13035.4736328125,14109.4423828125,14133.7685546875,13113.4619140625,15064.966796875
4948/405.0054mz/4.68min,13792.8583984375,15661.3701171875,17090.166015625,15877.5205078125,15621.1923828125,14693.103515625,14082.28125,14324.177734375,14857.91796875,15014.2705078125,15095.3056640625,16062.4599609375,15562.9306640625
4950/361.0025mz/4.68min,12746.7265625,14159.0693359375,14313.0498046875,13830.0537109375,12662.53515625,,14324.86328125,14500.9931640625,12720.97265625,14788.546875,13688.67578125,13522.62890625,14661.8564453125
4951/352.9981mz/4.68min,12399.5595703125,11778.4638671875,,14314.59765625,13341.361328125,12087.53515625,,11156.6689453125,10486.2431640625,12215.6484375,12198.248046875,,12328.2890625
4953/334.9976mz/4.69min,12076.71875,12936.7900390625,14236.16015625,,14105.2822265625,13512.9345703125,11694.9853515625,14356.6591796875,12503.720703125,12217.193359375,13451.45703125,,14330.8388671875
4957/314.9894mz/4.68min,73170.0,68488.796875,63651.2265625,66490.375,70563.8203125,65680.546875,66177.875,64943.25390625,67105.09375,70402.09375,64404.2890625,66203.796875,64517.578125
4962/437.0106mz/4.69min,12835.638671875,13086.876953125,,13193.8212890625,,13428.6005859375,12951.4072265625,14039.689453125,12450.439453125,14201.9013671875,13375.2509765625,13959.0703125,13372.3427734375
4963/553.2840mz/4.69min,,,155065.046875,,42514.72265625,87581.7109375,502271.9375,82136.25,85433.59375,,,,88456.546875
4964/555.2873mz/4.69min,,,16687.22265625,,,12104.501953125,50479.8515625,10190.1875,8847.130859375,,,,10497.640625
4966/310.9816mz/4.69min,23513.455078125,24828.689453125,23316.076171875,25355.4921875,24660.525390625,21514.876953125,,23314.70703125,25455.744140625,25310.349609375,24212.47265625,24997.74609375,20738.658203125
4972/280.9901mz/4.69min,12986.3564453125,14979.8447265625,13553.4599609375,14318.1279296875,13839.1298828125,12474.0341796875,14433.26953125,14915.990234375,13571.95703125,14537.5185546875,16143.783203125,,15035.9501953125
4975/367.0009mz/4.70min,10970.654296875,8988.5009765625,12760.3232421875,11330.2255859375,,11094.5859375,10656.9794921875,10756.4111328125,11088.19921875,12188.921875,10743.8857421875,11439.4716796875,11735.8759765625
