row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,PS-PS_neg_53.mzML Peak height,CG-C13_neg_52.mzML Peak height,MI-B14_neg_49.mzML Peak height,CG-C22_neg_50.mzML Peak height,MI-B24_neg_47.mzML Peak height,QC_neg_45.mzML Peak height,MI-ML_neg_48.mzML Peak height,QC_neg_56.mzML Peak height,QC_neg_51.mzML Peak height,PB_neg_42.mzML Peak height,CG-CG_neg_55.mzML Peak height,ASP-ASP_neg_54.mzML Peak height,QC_neg_46.mzML Peak height,
116,636.8898864731605,0.26779446,,,,,,,,,,,11596.32,0,0,0,0,8876.374,14549.896,9212.0205,8748.095,6163.9727,13592.522,10825.089,10604.898,
117,604.8709450349214,0.27822223,,,,,,,,,,,0,0,0,0,0,80950.99,3690.258,77368.71,82480.13,3263.1526,0,0,75230.836,
118,296.8820800199485,0.276675,,,,,,,,,,,0,114359.0,208839.7,185857.08,79310.72,0,0,0,0,0,0,0,0,
119,588.8977623636613,0.27612036,,,,,,,,,,,183059.17,0,0,0,0,183448.44,313743.03,187954.86,182072.5,381636.44,108507.87,267032.16,197129.62,
120,280.9078862291144,0.27875417,,,,,,,,,,,0,68746.336,70544.56,77980.86,50413.656,0,0,0,0,0,0,0,0,
121,113.98898051912737,0.27885002,,,,,,,,,,,19795.098,4442.531,3940.1394,3912.2163,3938.7366,27215.68,24622.168,23930.652,23771.83,24745.492,19522.936,22668.05,23198.896,
122,594.8533991772831,0.2853611,,,,,,,,,,,119051.24,0,0,0,0,44826.65,50115.375,56059.13,52864.23,117594.63,93892.984,115270.77,48854.426,
123,662.8406675709035,0.28443703,,,,,,,,,,,111727.18,0,0,0,0,38613.055,49555.72,48414.05,46589.777,120103.836,93992.5,120801.33,43291.047,
124,798.8150460680195,0.28443703,,,,,,,,,,,89739.7,0,0,0,0,34301.855,48040.105,41103.527,38831.465,119554.64,71105.28,115153.07,35774.44,
125,458.878866903699,0.2853611,,,,,,,,,,,128540.914,0,0,0,0,56691.51,58161.125,63668.617,64462.566,108125.54,107297.36,118126.08,55050.258,
126,264.93397531461085,0.280675,,,,,,,,,,,0,20203.248,9706.062,14443.624,13871.272,21174.715,0,18685.75,19724.629,0,0,0,19510.088,
127,400.9090886448349,0.28051665,,,,,,,,,,,0,0,0,0,0,36100.953,0,35259.434,36892.004,0,0,0,35412.504,
128,390.89166687162776,0.2853611,,,,,,,,,,,136238.92,0,0,0,0,61571.344,59828.652,68298.31,71202.42,110733.984,118157.5,113831.59,56718.184,
129,526.8663330056283,0.2853611,,,,,,,,,,,131601.95,0,0,0,0,51187.367,53425.184,56451.61,56636.797,112979.33,106404.16,119658.99,51053.43,
130,322.9043208006151,0.2862852,,,,,,,,,,,162888.73,0,0,0,0,91056.77,77459.664,95157.07,89528.46,129338.58,150517.73,134422.64,74410.945,
131,254.9169380767358,0.28720924,,,,,,,,,,,210287.33,0,0,0,0,125724.805,98864.58,119490.56,118695.234,181773.44,194122.89,145635.89,97790.58,
132,328.86046913207264,0.28998518,,,,,,,,,,,42781.79,0,0,0,0,20694.834,10567.511,23391.92,21121.74,59068.305,35052.266,18106.85,26429.703,
133,186.92944194315066,0.28720924,,,,,,,,,,,149226.52,0,0,0,0,109073.11,78150.04,100709.35,94091.88,184193.72,147721.19,112692.67,103974.59,
135,306.91883769017204,0.2909111,,,,,,,,,,,47031.355,0,0,0,0,33663.96,47115.105,16580.035,15807.563,26390.443,40147.652,62807.484,35929.203,
136,442.8936609812425,0.29014167,,,,,,,,,,,24433.629,0,0,0,0,0,29400.295,9716.929,11778.586,10952.276,21035.057,37973.566,13274.411,
